序号,1、Please select the option that best describes your experience with OpenRice:,2、Please select the option that best describes your experience with OpenRice:,3、Which feature(s) did you concern during your last visit?,4、Rank the following features according to your level of concern during your last visit.,"5、On a scale of 1 to 5, how likely are you to consider the following UI features when making a choice?—Restaurant Information (e.g. Introduction, Address, Opening Hours etc) ","5、User interface elements (price, images, menu)",5、Pricing,5、The Appealing images,5、The detailed menu,5、The comments from other users,5、The rating from other users,5、The discounts or promotions,5、The detailed food descriptions,"6、To what extent do you agree with the statement about your personalities? Use a scale of 1 to 5, where 1 indicates ""Strongly Disagree"" and 5 indicates ""Strongly Agree.""—Is depressed, blue","6、Is relaxed, handles stress well",6、Can be tense,6、Worries a lot,"6、Is emotionally stable, not easily upset",6、Can be moody,6、Remains calm in tense situations,6、Gets nervous hardly,7、What is your gender?,8、Which age group do you belong?,9、What is the highest degree or level of education you have completed?,10、What is your current employment status?,"11、On a scale of 5, how well your expectations were met after reviewing OpenRice.","12、On a scale from 1 to 5, how would you rate your recent experience after perusing OpenRice?",13、Please provide the name of the last restaurant you dined at?,总分
1,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Food Descriptions","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Pricing→Comments from Other Users→Detailed Menu→Rating",Extremely Important,Extremely Important,Very Important,Very Important,Very Important,Moderately Important  ,Very Important,Extremely Important,Very Important,Normal,Agree,Agree,Agree,Strongly Agree,Normal,Strongly Agree,Agree,Female,25 - 34,Bachelor's degree,Employed Part-Time,Very Satisfied,Satisfied,肥姐小食店,79
2,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","Comments from Other Users→Appealing images→Detailed Menu→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Rating",Slightly Important,Not Important at All,Not Important at All,Very Important,Slightly Important,Not Important at All,Slightly Important,Very Important,Very Important,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Normal,Female,45 - 54,Primary school,Seeking opportunities,Satisfied,Normal,裕興咖啡,46
3,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Detailed Menu→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Rating→Comments from Other Users→Appealing images",Very Important,Very Important,Moderately Important  ,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Female,25 - 34,Bachelor's degree,Employed Part-Time,Normal,Satisfied,瑞記咖啡,83
4,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu,"Detailed Menu→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Rating→Comments from Other Users",Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Male,55 - 64,Primary school,Employed Full-Time,Very Unsatisfied,Satisfied,靠得住,80
5,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Pricing→Appealing images→Discounts or Promotions→Food Descriptions→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Rating",Very Important,Very Important,Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Strongly Agree,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Strongly Agree,Agree,Agree,Female,45 - 54,Primary school,Employed Part-Time,Satisfied,Very Satisfied,利強記北角雞蛋仔,85
6,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Appealing images→Comments from Other Users→Detailed Menu→Rating",Very Important,Very Important,Moderately Important  ,Very Important,Very Important,Very Important,Very Important,Extremely Important,Very Important,Strongly Agree,Agree,Normal,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Female,35 - 44,Bachelor's degree,Employed Part-Time,Unsatisfied,Very Satisfied,蘭芳園,77
7,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Comments from Other Users,"Pricing→Comments from Other Users→Appealing images→Rating→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Discounts or Promotions→Food Descriptions",Moderately Important  ,Very Important,Slightly Important,Moderately Important  ,Slightly Important,Moderately Important  ,Slightly Important,Not Important at All,Very Important,Normal,Normal,Disagree,Disagree,Normal,Normal,Disagree,Disagree,Female,35 - 44,"Doctoral degree (Ph.D., Ed.D., etc.)",Employed Part-Time,Very Unsatisfied,Very Satisfied,唐宮小聚,50
8,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Rating→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Pricing→Comments from Other Users",Moderately Important  ,Slightly Important,Moderately Important  ,Not Important at All,Moderately Important  ,Very Important,Moderately Important  ,Moderately Important  ,Slightly Important,Disagree,Agree,Agree,Normal,Disagree,Strongly Disagree,Disagree,Disagree,Male,0 - 14,Primary school,Student,Very Unsatisfied,Very Satisfied,麥奀記,50
9,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Comments from Other Users,"Pricing→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Rating→Comments from Other Users→Detailed Menu",Very Important,Very Important,Moderately Important  ,Extremely Important,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Strongly Agree,Agree,Normal,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Male,25 - 34,Bachelor's degree,Employed Part-Time,Very Satisfied,Satisfied,滿記甜品,82
10,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Pricing→Detailed Menu→Rating→Food Descriptions→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Discounts or Promotions",Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Male,45 - 54,Primary school,Seeking opportunities,Very Unsatisfied,Very Satisfied,公和荳品廠,82
