q1,q2,q3,q4,q5a,q5b,q5c,q5d,q5e,q5f,q5g,q5h,q5i,q5j,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7,q8,q9,q10,q11,q12,q13,Total,emotional_total,stable_total,personality,rating
1,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Pricing', 'Comments from Other Users', 'Detailed Menu', 'Rating']",5,5,4,4,4,3,4,5,4,3,2,4,4,1,3,1,2,0,3,4,2,5,4,肥姐小食店,79,14,6,emotional,3.5
2,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Comments from Other Users', 'Appealing images', 'Detailed Menu', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Rating']",2,1,1,4,2,1,2,4,4,4,4,4,1,4,1,5,3,0,5,1,3,4,3,裕興咖啡,46,10,16,stable,4.0
3,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Detailed Menu', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Rating', 'Comments from Other Users', 'Appealing images']",4,4,3,4,5,5,5,5,5,4,2,4,5,1,4,1,1,0,3,4,2,3,4,瑞記咖啡,83,17,5,emotional,3.5
4,1,1,"['Pricing', 'Appealing images', 'Detailed Menu']","['Detailed Menu', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Rating', 'Comments from Other Users']",4,4,4,5,5,5,4,5,4,5,2,5,4,1,4,2,2,1,6,1,1,1,4,靠得住,80,18,7,emotional,4.5
5,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Appealing images', 'Discounts or Promotions', 'Food Descriptions', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Rating']",4,4,4,4,5,4,5,5,5,5,1,5,3,1,5,2,2,0,5,1,2,4,5,利強記北角雞蛋仔,85,18,6,emotional,3.0
6,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users', 'Detailed Menu', 'Rating']",4,4,3,4,4,4,4,5,4,5,2,3,4,1,4,2,1,0,4,4,2,2,5,蘭芳園,77,16,6,emotional,3.0
7,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users']","['Pricing', 'Comments from Other Users', 'Appealing images', 'Rating', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Discounts or Promotions', 'Food Descriptions']",3,4,2,3,2,3,2,1,4,3,3,2,2,3,3,4,4,0,4,6,2,1,5,唐宮小聚,50,10,14,stable,4.0
8,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Rating', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Pricing', 'Comments from Other Users']",3,2,3,1,3,4,3,3,2,2,2,4,3,4,1,4,4,1,1,1,5,1,5,麥奀記,50,10,14,stable,3.5
9,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users']","['Pricing', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Rating', 'Comments from Other Users', 'Detailed Menu']",4,4,3,5,4,4,5,5,4,5,2,3,4,1,4,1,1,1,3,4,2,5,4,滿記甜品,82,16,5,emotional,3.5
10,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Detailed Menu', 'Rating', 'Food Descriptions', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Discounts or Promotions']",4,5,4,5,5,4,5,4,4,4,2,4,5,1,5,2,1,1,5,1,3,1,5,公和荳品廠,82,18,6,emotional,3.5
